name, block size, decode steps, method, min error, max error, avg error
random_103x96, 32x32x1, [0, 0, 0], standard, 0.002836691267228926, 0.002836691267228926, 0.002836691267228926
random_103x96, 32x32x1, [0, 1, 0], standard, 0.0007455243182509138, 0.0035192146497306717, 0.002132369483990793
random_103x96, 32x32x1, [0, 2, 0], standard, 0.0035192146497306717, 0.011625795243924203, 0.008426585500359083
random_103x96, 32x32x1, [0, 3, 0], standard, 0.00022043395329127033, 0.02412227131353445, 0.009710844866588983
random_103x96, 32x32x1, [0, 4, 0], standard, 0.0034793980304725423, 0.03816231104226714, 0.01340943085350176
random_103x96, 32x32x1, [0, 5, 0], standard, 0.0020385942837909585, 0.05624916000249841, 0.019058978370177712
random_103x96, 32x32x1, [0, 6, 0], standard, 0.0017155468939623786, 0.09375844557816293, 0.03081889988906819
random_103x96, 32x32x1, [0, 7, 0], standard, 0.00021892012742718447, 0.10240105552791262, 0.05159195815740007
random_103x96, 32x32x1, [1, 0, 0], standard, 0.0003577318947426262, 0.0032664283229470277, 0.0018120801088448272
random_103x96, 32x32x1, [1, 1, 0], standard, 0, 0.002188914144881811, 0.0010822596698115423
random_103x96, 32x32x1, [1, 2, 0], standard, 0, 0.025653536100103916, 0.008202622879393488
random_103x96, 32x32x1, [1, 3, 0], standard, 0, 0.052920631252504007, 0.010441007682369916
random_103x96, 32x32x1, [1, 4, 0], standard, 0, 0.08032415059645433, 0.013441225423808302
random_103x96, 32x32x1, [1, 5, 0], standard, 0, 0.11606446010266426, 0.02007412367893317
random_103x96, 32x32x1, [1, 6, 0], standard, 0, 0.18713246748798076, 0.03206773238736666
random_103x96, 32x32x1, [1, 7, 0], standard, 0, 0.21047351606570514, 0.051590454443406326
random_103x96, 32x32x1, [2, 0, 0], standard, 0.001424705919598259, 0.009101858923300316, 0.0039055857371389944
random_103x96, 32x32x1, [2, 1, 0], standard, 0, 0.005810651519252232, 0.0011376133558436803
random_103x96, 32x32x1, [2, 2, 0], standard, 0, 0.044086977347237724, 0.007283674629894438
random_103x96, 32x32x1, [2, 3, 0], standard, 0, 0.08442580901227678, 0.007283674629894438
random_103x96, 32x32x1, [2, 4, 0], standard, 0, 0.14348704916294644, 0.012375877767333985
random_103x96, 32x32x1, [2, 5, 0], standard, 0, 0.18928102120535714, 0.018622318803885325
