name, block size, decode steps, method, min error, max error, avg error
random_103x96_f64, 8x8x1, [0, 0, 0], standard, 0.0007561497803115769, 0.0007561497803115769, 0.0007561497803115769
random_103x96_f64, 8x8x1, [0, 1, 0], standard, 0.00008975734358629417, 0.004191158071512935, 0.0021404577075496145
random_103x96_f64, 8x8x1, [0, 2, 0], standard, 0.0010416712962290076, 0.00523015940494076, 0.0037741584729792757
random_103x96_f64, 8x8x1, [0, 3, 0], standard, 0.0024499208697466024, 0.007651368565789629, 0.005082543038593189
random_103x96_f64, 8x8x1, [0, 4, 0], standard, 0.0003995869813929742, 0.011289545971769122, 0.006528445548092727
random_103x96_f64, 8x8x1, [0, 5, 0], standard, 0.0009900419194271426, 0.012577757182090477, 0.006610949041378335
random_103x96_f64, 8x8x1, [0, 6, 0], standard, 0.0002467253297491756, 0.01468212875120084, 0.006610949041378329
random_103x96_f64, 8x8x1, [0, 7, 0], standard, 0.00007750198293393629, 0.015241125737439742, 0.006753447825591858
random_103x96_f64, 8x8x1, [1, 0, 0], standard, 0.000027080192680828397, 0.0009181844119060534, 0.0004726323022934409
random_103x96_f64, 8x8x1, [1, 1, 0], standard, 0, 0.004932596784783527, 0.0018931945435328168
random_103x96_f64, 8x8x1, [1, 2, 0], standard, 0, 0.010015428202817755, 0.0037820106788894656
random_103x96_f64, 8x8x1, [1, 3, 0], standard, 0, 0.01646048026995206, 0.005110359234903513
random_103x96_f64, 8x8x1, [1, 4, 0], standard, 0, 0.022590301680163682, 0.006826427579746964
random_103x96_f64, 8x8x1, [1, 5, 0], standard, 0.0000623200986800132, 0.02669727058412552, 0.008763975180249567
random_103x96_f64, 8x8x1, [1, 6, 0], standard, 0.00008122099097818136, 0.035768993234691626, 0.01111228714859604
random_103x96_f64, 8x8x1, [1, 7, 0], standard, 0.00015344432232766714, 0.06363089450706655, 0.013935267547494558
random_103x96_f64, 8x8x1, [2, 0, 0], standard, 0.0015209192809249594, 0.005397116435536531, 0.0039162971399838015
random_103x96_f64, 8x8x1, [2, 1, 0], standard, 0, 0.013630289962748066, 0.00454432432369295
random_103x96_f64, 8x8x1, [2, 2, 0], standard, 0, 0.010459017374419788, 0.0010923880174578727
random_103x96_f64, 8x8x1, [2, 3, 0], standard, 0, 0.011119171977043152, 0.0013787954535690085
random_103x96_f64, 8x8x1, [2, 4, 0], standard, 0, 0.031048543618193647, 0.0026977495234903107
random_103x96_f64, 8x8x1, [2, 5, 0], standard, 0, 0.037813827661531296, 0.003557322441511564
random_103x96_f64, 8x8x1, [2, 6, 0], standard, 0, 0.0492346653980868, 0.004671379990343535
random_103x96_f64, 8x8x1, [2, 7, 0], standard, 0, 0.07420473865100313, 0.007050345363538891
random_103x96_f64, 8x8x1, [3, 0, 0], standard, 0.0012126867562377575, 0.01158549721973634, 0.004604975907345845
random_103x96_f64, 8x8x1, [3, 1, 0], standard, 0, 0.01848286675522104, 0.0047739637595107165
random_103x96_f64, 8x8x1, [3, 2, 0], standard, 0, 0.010459017374419788, 0.0006242217242616417
random_103x96_f64, 8x8x1, [3, 3, 0], standard, 0, 0.011119171977043152, 0.0007878831163251477
random_103x96_f64, 8x8x1, [3, 4, 0], standard, 0, 0.031048543618193647, 0.0015415711562801774
random_103x96_f64, 8x8x1, [3, 5, 0], standard, 0, 0.037813827661531296, 0.0020327556808637506
random_103x96_f64, 8x8x1, [3, 6, 0], standard, 0, 0.0492346653980868, 0.0026693599944820202
random_103x96_f64, 8x8x1, [3, 7, 0], standard, 0, 0.07420473865100313, 0.00402876877916508
random_103x96_f64, 8x8x1, [4, 0, 0], standard, 0.0014223601125801233, 0.01889680457922316, 0.00671583923597346
random_103x96_f64, 8x8x1, [4, 1, 0], standard, 0, 0.033919558743946254, 0.006355457442843322
random_103x96_f64, 8x8x1, [4, 2, 0], standard, 0, 0.010459017374419788, 0.0003361193899870378
random_103x96_f64, 8x8x1, [4, 3, 0], standard, 0, 0.011119171977043152, 0.0004242447549443103
random_103x96_f64, 8x8x1, [4, 4, 0], standard, 0, 0.031048543618193647, 0.0008300767764585571
random_103x96_f64, 8x8x1, [4, 5, 0], standard, 0, 0.037813827661531296, 0.0010945607512343272
random_103x96_f64, 8x8x1, [4, 6, 0], standard, 0, 0.0492346653980868, 0.001437347689336473
random_103x96_f64, 8x8x1, [4, 7, 0], standard, 0, 0.07420473865100313, 0.002169337034935043
random_103x96_f64, 8x8x1, [5, 0, 0], standard, 0.0014223601125801233, 0.01889680457922327, 0.006887824840258614
random_103x96_f64, 8x8x1, [5, 1, 0], standard, 0.0000848178363715979, 0.04421030850304908, 0.012074606884151507
random_103x96_f64, 8x8x1, [5, 2, 0], standard, 0.00032446665378910167, 0.06108871358446777, 0.017064837428430724
random_103x96_f64, 8x8x1, [5, 3, 0], standard, 0, 0.014652393758296967, 0.00030347122412779855
random_103x96_f64, 8x8x1, [5, 4, 0], standard, 0, 0.04099586481849349, 0.0005699702852970772
random_103x96_f64, 8x8x1, [5, 5, 0], standard, 0, 0.06321635718146956, 0.0008202399401806101
random_103x96_f64, 8x8x1, [5, 6, 0], standard, 0, 0.07759048044681549, 0.0012508875383939757
random_103x96_f64, 8x8x1, [5, 7, 0], standard, 0, 0.14928308129310608, 0.001906520131832132
random_103x96_f64, 8x8x1, [6, 0, 0], standard, 0.0014223601125801233, 0.01889680457922327, 0.006817971044279735
random_103x96_f64, 8x8x1, [6, 1, 0], standard, 0.001014091734153455, 0.08237857662606984, 0.01659611281073198
random_103x96_f64, 8x8x1, [6, 2, 0], standard, 0.00025817759645485605, 0.12153628926413762, 0.026456731401431653
random_103x96_f64, 8x8x1, [6, 3, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 4, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 5, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 6, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 7, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 0, 0], standard, 0.0014223601125801233, 0.01889680457922327, 0.006856508308895004
random_103x96_f64, 8x8x1, [7, 1, 0], standard, 0.00007867071932798897, 0.0892904538583631, 0.020794701955392708
random_103x96_f64, 8x8x1, [7, 2, 0], standard, 0.0003268266251931773, 0.16665840335190296, 0.037265228818370695
random_103x96_f64, 8x8x1, [7, 3, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 4, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 5, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 6, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 7, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [0, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 8x8x1, [0, 1, 0], greedy, 0, 0, 0
random_103x96_f64, 8x8x1, [0, 2, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 8x8x1, [0, 3, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 8x8x1, [0, 4, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000004163336342344337
random_103x96_f64, 8x8x1, [0, 5, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000006013708050052931
random_103x96_f64, 8x8x1, [0, 6, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000055511151231257815
random_103x96_f64, 8x8x1, [0, 7, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006591949208711866
random_103x96_f64, 8x8x1, [1, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000005551115123125783
random_103x96_f64, 8x8x1, [1, 1, 0], greedy, 0, 0.00000000000000011102230246251565, 0.000000000000000027755575615628914
random_103x96_f64, 8x8x1, [1, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005551115123125783
random_103x96_f64, 8x8x1, [1, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006013708050052931
random_103x96_f64, 8x8x1, [1, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005088522196198634
random_103x96_f64, 8x8x1, [1, 5, 0], greedy, 0.00003926832085610066, 0.016421708152987657, 0.005414007564421552
random_103x96_f64, 8x8x1, [1, 6, 0], greedy, 0.00031885900534689426, 0.04506997789781625, 0.010056106397112475
random_103x96_f64, 8x8x1, [1, 7, 0], greedy, 0.00017326110257553928, 0.08345733903563368, 0.01938867278531534
random_103x96_f64, 8x8x1, [2, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 8x8x1, [2, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006245004513516506
random_103x96_f64, 8x8x1, [2, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004625929269271486
random_103x96_f64, 8x8x1, [2, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.0000000000000000485722573273506
random_103x96_f64, 8x8x1, [2, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005204170427930421
random_103x96_f64, 8x8x1, [2, 5, 0], greedy, 0, 0.034657029279818174, 0.008474621952498462
random_103x96_f64, 8x8x1, [2, 6, 0], greedy, 0, 0.05094980681315053, 0.012566619534077816
random_103x96_f64, 8x8x1, [2, 7, 0], greedy, 0, 0.11857613013125956, 0.01867311474416056
random_103x96_f64, 8x8x1, [3, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000001586032892321652
random_103x96_f64, 8x8x1, [3, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005154606900045369
random_103x96_f64, 8x8x1, [3, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004229421046191072
