name, block size, decode steps, method, min error, max error, avg error
random_103x96_f32, 64x64x1, [0, 0, 0], standard, 0.027524054050445557, 0.027524054050445557, 0.027524054050445557
random_103x96_f32, 64x64x1, [0, 1, 0], standard, 0.0015189051628112793, 0.055922508239746094, 0.028720706701278687
random_103x96_f32, 64x64x1, [0, 2, 0], standard, 0.001668393611907959, 0.009366154670715332, 0.005246917251497507
random_103x96_f32, 64x64x1, [0, 3, 0], standard, 0.00192946195602417, 0.12269985675811768, 0.03688114881515503
random_103x96_f32, 64x64x1, [0, 4, 0], standard, 0.0002690553665161133, 0.1293359398841858, 0.039973847568035126
random_103x96_f32, 64x64x1, [0, 5, 0], standard, 0.001811206340789795, 0.15229791402816772, 0.04266472905874252
random_103x96_f32, 64x64x1, [0, 6, 0], standard, 0.00012129545211791992, 0.154324471950531, 0.04889742285013199
random_103x96_f32, 64x64x1, [0, 7, 0], standard, 0.0009853243827819824, 0.10269346833229065, 0.04944805055856705
random_103x96_f32, 64x64x1, [1, 0, 0], standard, 0.005790054798126221, 0.049670517444610596, 0.027730286121368408
random_103x96_f32, 64x64x1, [1, 1, 0], standard, 0.00000005960464477539063, 0.10092559456825256, 0.028637200593948364
random_103x96_f32, 64x64x1, [1, 2, 0], standard, 0, 0.01854252815246582, 0.006009966135025024
random_103x96_f32, 64x64x1, [1, 3, 0], standard, 0, 0.07657474279403687, 0.018897438421845436
random_103x96_f32, 64x64x1, [1, 4, 0], standard, 0, 0.08661976456642151, 0.021488958969712257
random_103x96_f32, 64x64x1, [1, 5, 0], standard, 0, 0.11741584539413452, 0.025506742298603058
random_103x96_f32, 64x64x1, [1, 6, 0], standard, 0, 0.1652565598487854, 0.03396105393767357
random_103x96_f32, 64x64x1, [1, 7, 0], standard, 0, 0.21292266249656677, 0.048372138291597366
random_103x96_f32, 64x64x1, [2, 0, 0], standard, 0.0051348209381103516, 0.07371893525123596, 0.026207618415355682
random_103x96_f32, 64x64x1, [2, 1, 0], standard, 0, 0.15405750274658203, 0.028050124645233154
