name, block size, decode steps, method, min error, max error, avg error
random_103x96_f64, 16x16x1, [0, 0, 0], standard, 0.0015632057073097227, 0.0015632057073097227, 0.0015632057073097227
random_103x96_f64, 16x16x1, [0, 1, 0], standard, 0.0005323298478067118, 0.005362697421288809, 0.0029475136345477604
random_103x96_f64, 16x16x1, [0, 2, 0], standard, 0.00011747726832644911, 0.014381799607558032, 0.006051893880288262
random_103x96_f64, 16x16x1, [0, 3, 0], standard, 0.0032820717866184346, 0.015459460258886226, 0.009091686836169186
random_103x96_f64, 16x16x1, [0, 4, 0], standard, 0.0007169516531081443, 0.02589132625935142, 0.010000798979305751
random_103x96_f64, 16x16x1, [0, 5, 0], standard, 0.0008312683849112101, 0.03009380858285604, 0.011039772078031905
random_103x96_f64, 16x16x1, [0, 6, 0], standard, 0.0006787139285727717, 0.039655725708704126, 0.015018222050594205
random_103x96_f64, 16x16x1, [0, 7, 0], standard, 0.0005817629014084336, 0.04781852801866121, 0.020891511805149213
random_103x96_f64, 16x16x1, [1, 0, 0], standard, 0.00018730230901076173, 0.0026925183822322785, 0.00143991034562152
random_103x96_f64, 16x16x1, [1, 1, 0], standard, 0, 0.010314207261753583, 0.003933501278646501
random_103x96_f64, 16x16x1, [1, 2, 0], standard, 0, 0.02785536282074952, 0.006059746086198451
random_103x96_f64, 16x16x1, [1, 3, 0], standard, 0, 0.030538713072951973, 0.009341080633114469
random_103x96_f64, 16x16x1, [1, 4, 0], standard, 0, 0.056232913376357496, 0.0108299532932086
random_103x96_f64, 16x16x1, [1, 5, 0], standard, 0, 0.06754256528503716, 0.012367780615862177
random_103x96_f64, 16x16x1, [1, 6, 0], standard, 0, 0.08675007939111823, 0.016780669611544625
random_103x96_f64, 16x16x1, [1, 7, 0], standard, 0, 0.1134646425250535, 0.0236772707578497
random_103x96_f64, 16x16x1, [2, 0, 0], standard, 0.0019450860175614926, 0.009193100750313266, 0.004102824578911243
random_103x96_f64, 16x16x1, [2, 1, 0], standard, 0, 0.02711797754247003, 0.006167701105628753
random_103x96_f64, 16x16x1, [2, 2, 0], standard, 0, 0.04706557818488888, 0.0049157460785604025
random_103x96_f64, 16x16x1, [2, 3, 0], standard, 0, 0.05003627389669418, 0.006204579541060541
random_103x96_f64, 16x16x1, [2, 4, 0], standard, 0, 0.13971844628187158, 0.012139872855706403
random_103x96_f64, 16x16x1, [2, 5, 0], standard, 0, 0.1701622244768909, 0.016007950986802046
random_103x96_f64, 16x16x1, [2, 6, 0], standard, 0, 0.22155599429139067, 0.02102120995654591
random_103x96_f64, 16x16x1, [2, 7, 0], standard, 0, 0.3339213239295142, 0.03172655413592501
random_103x96_f64, 16x16x1, [3, 0, 0], standard, 0.0008878425287548453, 0.009193100750313266, 0.004343950453960346
random_103x96_f64, 16x16x1, [3, 1, 0], standard, 0, 0.02711797754247003, 0.005451913882636138
random_103x96_f64, 16x16x1, [3, 2, 0], standard, 0, 0.04706557818488888, 0.0028089977591773726
random_103x96_f64, 16x16x1, [3, 3, 0], standard, 0, 0.05003627389669418, 0.0035454740234631657
random_103x96_f64, 16x16x1, [3, 4, 0], standard, 0, 0.13971844628187158, 0.006937070203260804
random_103x96_f64, 16x16x1, [3, 5, 0], standard, 0, 0.1701622244768909, 0.009147400563886883
random_103x96_f64, 16x16x1, [3, 6, 0], standard, 0, 0.22155599429139067, 0.012012119975169088
random_103x96_f64, 16x16x1, [3, 7, 0], standard, 0, 0.3339213239295142, 0.018129459506242857
random_103x96_f64, 16x16x1, [4, 0, 0], standard, 0.0008878425287548453, 0.008237212294867902, 0.0037330335653011832
random_103x96_f64, 16x16x1, [4, 1, 0], standard, 0.0005567478559290739, 0.016105035378132015, 0.005571333697874219
random_103x96_f64, 16x16x1, [4, 2, 0], standard, 0, 0.010459017374419788, 0.0003361193899870378
random_103x96_f64, 16x16x1, [4, 3, 0], standard, 0, 0.011119171977043152, 0.0004242447549443103
random_103x96_f64, 16x16x1, [4, 4, 0], standard, 0, 0.031048543618193647, 0.0008300767764585571
random_103x96_f64, 16x16x1, [4, 5, 0], standard, 0, 0.037813827661531296, 0.0010945607512343272
random_103x96_f64, 16x16x1, [4, 6, 0], standard, 0, 0.0492346653980868, 0.001437347689336473
random_103x96_f64, 16x16x1, [4, 7, 0], standard, 0, 0.07420473865100313, 0.002169337034935043
random_103x96_f64, 16x16x1, [5, 0, 0], standard, 0.0008878425287548453, 0.019583973529127774, 0.004419694877026665
random_103x96_f64, 16x16x1, [5, 1, 0], standard, 0.00008761029069626058, 0.04503755898137263, 0.011532162836281197
random_103x96_f64, 16x16x1, [5, 2, 0], standard, 0, 0.051590222244461414, 0.0011559175805021561
random_103x96_f64, 16x16x1, [5, 3, 0], standard, 0, 0.014652393758296967, 0.00030347122412779855
random_103x96_f64, 16x16x1, [5, 4, 0], standard, 0, 0.04099586481849349, 0.0005699702852970772
random_103x96_f64, 16x16x1, [5, 5, 0], standard, 0, 0.06321635718146956, 0.0008202399401806101
random_103x96_f64, 16x16x1, [5, 6, 0], standard, 0, 0.07759048044681549, 0.0012508875383939757
random_103x96_f64, 16x16x1, [5, 7, 0], standard, 0, 0.14928308129310608, 0.001906520131832132
random_103x96_f64, 16x16x1, [6, 0, 0], standard, 0.0008878425287548453, 0.034610902075655814, 0.004685905042629797
random_103x96_f64, 16x16x1, [6, 1, 0], standard, 0.0003627670230343938, 0.062078703253064305, 0.01679037883504628
random_103x96_f64, 16x16x1, [6, 2, 0], standard, 0, 0.07738533336669207, 0.0013374884385997667
random_103x96_f64, 16x16x1, [6, 3, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [6, 4, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [6, 5, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [6, 6, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [6, 7, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [7, 0, 0], standard, 0.0008878425287548453, 0.010469883563928362, 0.0040070099396703595
random_103x96_f64, 16x16x1, [7, 1, 0], standard, 0.00010011533352860535, 0.08387803292134771, 0.020439663517641503
random_103x96_f64, 16x16x1, [7, 2, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [7, 3, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [7, 4, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [7, 5, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [7, 6, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [7, 7, 0], standard, 0, 0, 0
random_103x96_f64, 16x16x1, [0, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 16x16x1, [0, 1, 0], greedy, 0, 0, 0
random_103x96_f64, 16x16x1, [0, 2, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 16x16x1, [0, 3, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 16x16x1, [0, 4, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000004163336342344337
random_103x96_f64, 16x16x1, [0, 5, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000006013708050052931
random_103x96_f64, 16x16x1, [0, 6, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000055511151231257815
random_103x96_f64, 16x16x1, [0, 7, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006534125092845972
random_103x96_f64, 16x16x1, [1, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000005551115123125783
random_103x96_f64, 16x16x1, [1, 1, 0], greedy, 0, 0.00000000000000011102230246251565, 0.000000000000000027755575615628914
random_103x96_f64, 16x16x1, [1, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005551115123125783
