name, block size, decode steps, method, min error, max error, avg error
random_103x96, 64x64x1, [0, 0, 0], standard, 0.010444835967779642, 0.010444835967779642, 0.010444835967779642
random_103x96, 64x64x1, [0, 1, 0], standard, 0.0007455243182509138, 0.018735504050832106, 0.009740514184541511
random_103x96, 64x64x1, [0, 2, 0], standard, 0.0035192146497306717, 0.011625795243924203, 0.008426585500359083
random_103x96, 64x64x1, [0, 3, 0], standard, 0.0038527780986896995, 0.028105529723663807, 0.014358360828317736
random_103x96, 64x64x1, [0, 4, 0], standard, 0.0034793980304725423, 0.03816231104226714, 0.016548990137403848
random_103x96, 64x64x1, [0, 5, 0], standard, 0.0020385942837909585, 0.05624916000249841, 0.02109684058517869
random_103x96, 64x64x1, [0, 6, 0], standard, 0.0018511081926326418, 0.10140588705481023, 0.032074893969432174
random_103x96, 64x64x1, [0, 7, 0], standard, 0.00021892012742718447, 0.10240105552791262, 0.05159195815740007
random_103x96, 64x64x1, [1, 0, 0], standard, 0.0016259544316839043, 0.017214495187107184, 0.009420224809395545
random_103x96, 64x64x1, [1, 1, 0], standard, 0, 0.030085047873202122, 0.008690404370362259
random_103x96, 64x64x1, [1, 2, 0], standard, 0, 0.025653536100103916, 0.008202622879393488
random_103x96, 64x64x1, [1, 3, 0], standard, 0, 0.052920631252504007, 0.010441007682369916
random_103x96, 64x64x1, [1, 4, 0], standard, 0, 0.08032415059645433, 0.013441225423808302
random_103x96, 64x64x1, [1, 5, 0], standard, 0, 0.11606446010266426, 0.02007412367893317
random_103x96, 64x64x1, [1, 6, 0], standard, 0, 0.18713246748798076, 0.03206773238736666
random_103x96, 64x64x1, [1, 7, 0], standard, 0, 0.21047351606570514, 0.051590454443406326
random_103x96, 64x64x1, [2, 0, 0], standard, 0.0026813370129135593, 0.060574067967147975, 0.022452279443824087
random_103x96, 64x64x1, [2, 1, 0], standard, 0, 0.10875506960694754, 0.022944549075156605
random_103x96, 64x64x1, [2, 2, 0], standard, 0, 0.044086977347237724, 0.007283674629894438
random_103x96, 64x64x1, [2, 3, 0], standard, 0, 0.08442580901227678, 0.007283674629894438
random_103x96, 64x64x1, [2, 4, 0], standard, 0, 0.14348704916294644, 0.012375877767333985
random_103x96, 64x64x1, [2, 5, 0], standard, 0, 0.18928102120535714, 0.018622318803885325
random_103x96, 64x64x1, [2, 6, 0], standard, 0, 0.3703462768973214, 0.028951012017938524
random_103x96, 64x64x1, [2, 7, 0], standard, 0, 0.44148204799107144, 0.04469798835524786
random_103x96, 64x64x1, [3, 0, 0], standard, 0.00012994896837931205, 0.03958891903682571, 0.01925765146535027
random_103x96, 64x64x1, [3, 1, 0], standard, 0, 0.06770604323800224, 0.019410187342870703
random_103x96, 64x64x1, [3, 2, 0], standard, 0, 0.031742623690011164, 0.0029967118477279976
random_103x96, 64x64x1, [3, 3, 0], standard, 0, 0.06078658248883929, 0.0029967118477279976
random_103x96, 64x64x1, [3, 4, 0], standard, 0, 0.10331067539732143, 0.00509178970998884
random_103x96, 64x64x1, [3, 5, 0], standard, 0, 0.13628233526785713, 0.007661754022169962
random_103x96, 64x64x1, [3, 6, 0], standard, 0, 0.26664931936607145, 0.011911273515951849
random_103x96, 64x64x1, [3, 7, 0], standard, 0, 0.31786707455357144, 0.018390029494730547
random_103x96, 64x64x1, [4, 0, 0], standard, 0.0006318362375976563, 0.04085407106143311, 0.02162663012750648
random_103x96, 64x64x1, [4, 1, 0], standard, 0, 0.09178661307695313, 0.02241406382674237
random_103x96, 64x64x1, [4, 2, 0], standard, 0, 0.0070539163755580355, 0.0003585809048563416
random_103x96, 64x64x1, [4, 3, 0], standard, 0, 0.013508129441964285, 0.0003585809048563416
random_103x96, 64x64x1, [4, 4, 0], standard, 0, 0.02295792786607143, 0.0006092739823918269
random_103x96, 64x64x1, [4, 5, 0], standard, 0, 0.030284963392857144, 0.0009167910795758929
random_103x96, 64x64x1, [4, 6, 0], standard, 0, 0.05925540430357143, 0.001425280591652358
random_103x96, 64x64x1, [4, 7, 0], standard, 0, 0.07063712767857143, 0.002200516349796818
random_103x96, 64x64x1, [5, 0, 0], standard, 0.003127195696048019, 0.08984247670390624, 0.035470327524902846
random_103x96, 64x64x1, [5, 1, 0], standard, 0, 0.18638999424375, 0.035059231212912385
random_103x96, 64x64x1, [5, 2, 0], standard, 0, 0.010623032848958333, 0.0002780750399238782
random_103x96, 64x64x1, [5, 3, 0], standard, 0, 0.01141511309375, 0.0002882305492721688
random_103x96, 64x64x1, [5, 4, 0], standard, 0, 0.028989260666666666, 0.000447371526048344
random_103x96, 64x64x1, [5, 5, 0], standard, 0, 0.060567543333333335, 0.0007389786035056089
random_103x96, 64x64x1, [5, 6, 0], standard, 0, 0.11204633933333333, 0.0012728033162459937
random_103x96, 64x64x1, [5, 7, 0], standard, 0, 0.13796954916666668, 0.0017275638341412928
random_103x96, 64x64x1, [6, 0, 0], standard, 0.00022817576614583333, 0.10676059096979167, 0.04352860041279844
random_103x96, 64x64x1, [6, 1, 0], standard, 0, 0.224784109984375, 0.04286838241971327
random_103x96, 64x64x1, [6, 2, 0], standard, 0, 0, 0
random_103x96, 64x64x1, [6, 3, 0], standard, 0, 0, 0
random_103x96, 64x64x1, [6, 4, 0], standard, 0, 0, 0
random_103x96, 64x64x1, [6, 5, 0], standard, 0, 0, 0
random_103x96, 64x64x1, [6, 6, 0], standard, 0, 0, 0
random_103x96, 64x64x1, [6, 7, 0], standard, 0, 0, 0
random_103x96, 64x64x1, [7, 0, 0], standard, 0.0012418621380208333, 0.12808118854895834, 0.05816109005329842
random_103x96, 64x64x1, [7, 1, 0], standard, 0, 0.2683615740625, 0.058080005302444095
random_103x96, 64x64x1, [7, 2, 0], standard, 0, 0, 0
