name, block size, decode steps, method, min error, max error, avg error
random_103x96, 16x16x1, [0, 0, 0], standard, 0.003144758372684068, 0.003144758372684068, 0.003144758372684068
random_103x96, 16x16x1, [0, 1, 0], standard, 0.0009758421911757186, 0.004365666733565762, 0.0026707544623707394
random_103x96, 16x16x1, [0, 2, 0], standard, 0.0031124690433830156, 0.00900034257546717, 0.00638715660398864
random_103x96, 16x16x1, [0, 3, 0], standard, 0.00022739930452122964, 0.018212464682675074, 0.007834672470976918
random_103x96, 16x16x1, [0, 4, 0], standard, 0.00024571249152967876, 0.020033461684613507, 0.008295538295282142
random_103x96, 16x16x1, [0, 5, 0], standard, 0.000770822303639175, 0.027244431466881033, 0.0103413618247948
random_103x96, 16x16x1, [0, 6, 0], standard, 0.0007342008126775692, 0.04248726372637409, 0.014375993475798213
random_103x96, 16x16x1, [0, 7, 0], standard, 0.002120176277776185, 0.04591688131127353, 0.022381494227336426
random_103x96, 16x16x1, [1, 0, 0], standard, 0.001971562310031989, 0.0022687321185679496, 0.002120147214299969
random_103x96, 16x16x1, [1, 1, 0], standard, 0, 0.003822000447650647, 0.0016206446481914893
random_103x96, 16x16x1, [1, 2, 0], standard, 0, 0.020402630763189853, 0.006163193983023045
random_103x96, 16x16x1, [1, 3, 0], standard, 0, 0.041101017990785256, 0.008638313271188277
random_103x96, 16x16x1, [1, 4, 0], standard, 0, 0.046042969101304586, 0.0090981807404372
random_103x96, 16x16x1, [1, 5, 0], standard, 0, 0.06440143090455229, 0.011432539398030078
random_103x96, 16x16x1, [1, 6, 0], standard, 0, 0.0985140744495042, 0.016813148822451912
random_103x96, 16x16x1, [1, 7, 0], standard, 0, 0.10361620507377804, 0.025857575144928525
random_103x96, 16x16x1, [2, 0, 0], standard, 0.0012305642343032378, 0.004984683302450707, 0.003501299882795007
random_103x96, 16x16x1, [2, 1, 0], standard, 0, 0.009463211844861841, 0.002276090256375901
random_103x96, 16x16x1, [2, 2, 0], standard, 0, 0.031742623690011164, 0.005244245733523996
random_103x96, 16x16x1, [2, 3, 0], standard, 0, 0.06078658248883929, 0.005244245733523996
random_103x96, 16x16x1, [2, 4, 0], standard, 0, 0.10331067539732143, 0.008910631992480468
random_103x96, 16x16x1, [2, 5, 0], standard, 0, 0.13628233526785713, 0.013408069538797434
random_103x96, 16x16x1, [2, 6, 0], standard, 0, 0.26664931936607145, 0.020844728652915735
random_103x96, 16x16x1, [2, 7, 0], standard, 0, 0.31786707455357144, 0.03218255161577846
random_103x96, 16x16x1, [3, 0, 0], standard, 0.0002936844358561198, 0.005459191787109375, 0.0032893879657013366
random_103x96, 16x16x1, [3, 1, 0], standard, 0, 0.010290287071266651, 0.002781290950691958
random_103x96, 16x16x1, [3, 2, 0], standard, 0, 0.031742623690011164, 0.0029967118477279976
random_103x96, 16x16x1, [3, 3, 0], standard, 0, 0.06078658248883929, 0.0029967118477279976
random_103x96, 16x16x1, [3, 4, 0], standard, 0, 0.10331067539732143, 0.00509178970998884
random_103x96, 16x16x1, [3, 5, 0], standard, 0, 0.13628233526785713, 0.007661754022169962
random_103x96, 16x16x1, [3, 6, 0], standard, 0, 0.26664931936607145, 0.011911273515951849
random_103x96, 16x16x1, [3, 7, 0], standard, 0, 0.31786707455357144, 0.018390029494730547
random_103x96, 16x16x1, [4, 0, 0], standard, 0.0002936844358561198, 0.005459191787109375, 0.00298105625216733
random_103x96, 16x16x1, [4, 1, 0], standard, 0.0006677248531063989, 0.017817725513338885, 0.004773590049366913
random_103x96, 16x16x1, [4, 2, 0], standard, 0, 0.0070539163755580355, 0.0003585809048563416
random_103x96, 16x16x1, [4, 3, 0], standard, 0, 0.013508129441964285, 0.0003585809048563416
random_103x96, 16x16x1, [4, 4, 0], standard, 0, 0.02295792786607143, 0.0006092739823918269
random_103x96, 16x16x1, [4, 5, 0], standard, 0, 0.030284963392857144, 0.0009167910795758929
random_103x96, 16x16x1, [4, 6, 0], standard, 0, 0.05925540430357143, 0.001425280591652358
random_103x96, 16x16x1, [4, 7, 0], standard, 0, 0.07063712767857143, 0.002200516349796818
random_103x96, 16x16x1, [5, 0, 0], standard, 0.0002936844358561198, 0.005459191787109375, 0.003033677366879322
random_103x96, 16x16x1, [5, 1, 0], standard, 0.00010692325970052083, 0.03429985378430989, 0.010068800913496729
random_103x96, 16x16x1, [5, 2, 0], standard, 0, 0.042492131395833334, 0.0011123001596955128
random_103x96, 16x16x1, [5, 3, 0], standard, 0, 0.01141511309375, 0.0002882305492721688
random_103x96, 16x16x1, [5, 4, 0], standard, 0, 0.028989260666666666, 0.000447371526048344
random_103x96, 16x16x1, [5, 5, 0], standard, 0, 0.060567543333333335, 0.0007389786035056089
random_103x96, 16x16x1, [5, 6, 0], standard, 0, 0.11204633933333333, 0.0012728033162459937
random_103x96, 16x16x1, [5, 7, 0], standard, 0, 0.13796954916666668, 0.0017275638341412928
random_103x96, 16x16x1, [6, 0, 0], standard, 0.0002936844358561198, 0.02682876304625651, 0.003523750954809594
random_103x96, 16x16x1, [6, 1, 0], standard, 0.00005991587056559463, 0.050523121963671876, 0.015560714959680078
random_103x96, 16x16x1, [6, 2, 0], standard, 0, 0.06373819709375, 0.0013114935556490384
random_103x96, 16x16x1, [6, 3, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [6, 4, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [6, 5, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [6, 6, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [6, 7, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [7, 0, 0], standard, 0.0002936844358561198, 0.005459191787109375, 0.00293914708722096
random_103x96, 16x16x1, [7, 1, 0], standard, 0.00008321549915364583, 0.07556650832971525, 0.021178821450584234
random_103x96, 16x16x1, [7, 2, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [7, 3, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [7, 4, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [7, 5, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [7, 6, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [7, 7, 0], standard, 0, 0, 0
random_103x96, 16x16x1, [0, 0, 0], greedy, 0, 0, 0
